Course	Room	Teacher	Time	Students
458	STO16	276	9	9 93 114 168 207 223 276 367 406 444 557 620 709 771 821 841 849 1052 1111 1139 1161 1164 
459	GST103	7	6	41 192 216 272 544 623 920 1049 1051 
620	HLS105	71	0	74 631 
627	OBS	112	2	220 223 438 735 
573	STO10	296	5	147 245 247 356 406 410 431 477 518 522 539 543 567 779 798 816 913 918 934 953 1005 1012 1016 1045 1074 1117 1144 1176 
572	HLS11	267	7	62 145 246 361 412 661 681 1021 1098 
629	STO14	104	6	334 822 
336	STO119	28	5	285 385 622 679 693 700 776 912 1093 1175 
577	HLL112	196	2	27 211 283 848 903 925 1135 1169 
576	HLL6	68	1	56 77 182 455 528 622 762 769 853 859 860 868 1041 1157 
333	SHAAUD	325	12	45 50 106 115 164 196 208 235 261 283 293 439 444 491 519 575 589 600 620 636 671 673 692 698 834 977 985 1007 1032 1033 1109 1143 1172 1174 
574	HLL112	85	8	16 237 315 438 450 643 664 792 860 982 1055 1094 1140 
60	SHAAUD	127	0	144 215 336 403 468 888 894 1170 
102	STOAUD	90	0	568 794 
62	STO16	87	6	91 108 113 137 157 198 241 379 395 418 522 532 565 710 712 749 810 832 833 884 929 983 1011 1068 1102 1164 
63	STO10	31	10	50 103 218 406 418 422 459 472 478 519 586 620 768 830 923 1005 1012 1016 1033 1043 1063 1068 1089 1109 1135 1143 1144 1176 
177	HLL107	17	1	217 743 793 940 
69	HLL106	62	7	8 77 185 258 321 357 372 383 422 712 861 950 958 990 1063 1107 
175	SHA412	166	4	315 682 1169 
251	GST103	230	8	333 342 526 547 560 936 941 
253	HLL7	146	1	349 778 1151 1167 
172	HLS105	257	1	9 35 43 44 47 127 170 190 210 253 255 290 467 495 542 584 609 614 638 647 656 662 861 891 924 1022 1053 1092 1161 1162 1183 
554	STO102	19	4	384 616 1172 
407	STO14	239	2	278 287 869 952 1151 1167 
746	HLL106	218	5	186 565 655 857 1159 1180 
543	STO207	239	3	
249	ESTW309	133	2	855 
482	OBS	294	6	186 
731	HLL112	228	3	99 128 194 298 835 892 1098 
